V160001,V161078 - PRE: What is it that R dislikes about Republican Pres cand
302542,arrogance
302543,His tax returns would be one thing. The way he acts towards women in the public eye and just in general. //
302545,i dont like him as a man and i dont like the way he talks he shouldnt go on national tv its not right thats the way i feel.//
302557,I dont trust him//i don't identify with his social politics//
302558,I just don't agree with his views.//
302559,I think that he prejudice in alot ways./He contradicts himself.//
302562,"In particular, his disbelief of climate change. I thinnk that's the biggest thing about him . His refusal to put any resources toward renewable energy. Um, like I said his values don't fit with mine. He is a business man and he is a very self serving man and I think that kind of continues with the issues some of this coutry has had and it has over the past decades. Um, the other big problem I have is he is a big propronent of trickle down economics and trying to lower taxes for big business and he expects them to hire more exployees and that doesn't always work.// Um, that's good."
302564,//his views on what he would do for the disabled
302566,What I see about Donald Trump is he just wants it just to be greedy That's his major thing. All he wants to do is get the presidency that way he's got the country ruled. That's my opinion. //
302568,que esta contra los hispanos
302569,"Bigotry, poor business record, mysogeny//anti-immigrants//"
302574,he doesn't have a policy//
302576,yes crazy crap  bldg a wall in mexico and thinks everything is an easy fix
302579,"He talks a lot about. How can I explain? When he talks about immigration, I'm not totally against everything he says. I'm hispanic. I think when he talks about immigration, I honestly feel like he is talking a lot of truth. I know we tend to get into exageration. When He talks about the bad seeds, I think he means get rid of bad seeds not the legitimate people working. Its kinda hard with Donald Trump. I guess I'm not registered to vote but if I was going to vote I'd vote for Donald Trump. I knnow I wouldn't vote for Hilary.//I"
302580,"I perceive him as a bigot, racist, homopobe, and a fraud, I also do not trust him to put the best interests of the American people first."
302581,
302583,
302584,
302585,"Arrogancy.//rude, disrespectful//"
302586,
302587,His immaturity//
302593,Regarding his healthcare policies and how he wants to get rid of universal health care - Obamacare//How he acts toward minorities
302595,"I think he is the most obnoxious, racist for sure, his temper is out of control, he reminds me of a child in school you have to keep disciplining because he interrupts. He kept interrupting hillary in the last debate. The mediator had to keep telling him this is her 2 minutes. He makes me nervous, he makes a lot of people nervous, having the nuclear codes. He doesn't listen to even his own people in his campaign. He's gonna be himself no matter what. When they're done talking he's going to do what he wants no matter what. // I've never been this nervous about anyone who's ran for president. We need someone who will talk to foreign leaders and doesn't have his mind made up already. He's like the wild west era. He has so much money he doesn't care what ... he hasn't released tax returns. He most recently bragged about the reason he didn't pay taxes in the year Hillary refered to was that he's smart. I think that statement alone is the one that keeps him out of the office. I don't think he's done making statemen"
302602,I don't think he is a qualified candidate
302604,immigration policies
302606,I think he is insincere.  I thinke he's a liar.  I think he's for himself and not for the people.  He may generate problems we may not be able to solve after his tenure is over.//
302610,
302612,
302613,
302614,I think he's an idiot//
302615,sometimes he i not very professional he seems like a narcist
302621,"would he listen, that is why you need to listen to the house of representative, would he listen, would that matter"
302626,
302627,sometimes sounds stupid
302629,
302632,HE TALKS ABOUT TAKING THINGS AWAY FROM PEOPLE IN NEED
302634,some of the things he said and done// crowd that he has/ anthing he says do not like / if a blck man can do it he can do it // racist
302639,"his quick decisions to possibly ok north korea lets just bomb them, be a bit timid to think he would use nuclear power, I respect that he does not want to be paid to be president,   one lady mentioned that i have heard that he is against women in thier opinions not sure if that is true that makes me sad for the future I am not by any means a women liber my family is but I am not a women should do a womans job and a man a mans job   just protect us"
302643,Lack of experience. Lack of preparation.
302645,The way he talks about Hispanics and in particular about Mexicans.\\
302648,I don't like him//
302651,"I haven't heard any policies. I dopn't respect him as an individual. I think he disregards many, many people in this county, and I think he's a total egomaniac.//I think his anger incites people and they don't and it's easier for them to be angry than it is to think.//"
302652,He would anger all of our allies// Infuriate our enimies// Do not agree with his immagration policies//Would reflect poorly on the United States//
302653,He is loose lipped and that is unfortunate habit that he has  He is a bit egotistical and like to be praised a lot and those are some of the things I don't like to much about him.//
302657,Attitude on certain topics.//He is a little brash.
302659,
302660,"He can be convertial, and could potentially make enemices/"
302661,inexperinces//
302664,
302665,
302667,"He's sexist, racist, inflamatory, he feeds this country by hate, he brings out the worst in this country. I believe America and the people who live here are good people and we deserve a leader who reflects that //."
302669,his forgien policy social
302671,
302673,pretty much everything//
302675,"no self controll,, angered easily, talks about things he does not know but actls like he does and can f=be very offensive//"
302678,"Yes, all of the news that has come out recently about the disrespect of women and just the fact that he is a seems like he is an entitled whiner ."
302679,"lack of experience, dangerous, scary in certain issues//"
302680,He's radical
302684,bad rap but he has good ethics behind him//gets a bad rap
302699,
302707,he doesn't always seem in control but he is doing better
302709,"DON'T AGREE WITH HIS SOCIAL STANCES, ABUSING HIS POWER, DON'T AGREE WITH EVERYTHING ABOUT HIM//DON'T AGREE WITH ANYTHING THAT COMES OUT OF HIS MOUTH///WE WOULD BE THE LAUGHING STOCK OF THE WORLD"
302710,"His mouth, he's uncouth/"
302713,
302714,Sometimes his chaotic personality makes me wary
302717,i guess the way he just shoots his mouth off without thinking about it//i dont really know everything he stands for//
302719,
302720,HE WILLMESS THE WHOLE COUNTRY UP
302722,":\\policies are scary, isolationalist, his thoughts of use of miliatary force is terrifying, his tax policies are one sided trickled down ecomonics didn't work before and won't work again, it will make the debt worse, his views on law enforcement is antiquated to say the less"
302723,
302724,Theat he is a business man and the views on what he is running for. I don't believe him//He's also said some pretty racist things//
302726,W
302730,Discrimination against illegal imigrants and minors//just not fit to lead.
302731,He's an egotistic maniac//I just think he's wrong for the job//I think he's for himself and not for anybody else//
302733,
302734,
302736,
302739,"I DON'T LIKE THE WAY HE TALKS TO OTHER PEOPLE, LIKE THE FIRST DEBATE, IS THIS WHAT THIS IS REALLY LIKE, IS THIS HOW IT WILL BE LIKE, 2ND DEBATE HE WAS STOIC, HE WAS A TOTAL SWITCH, DUDE THE WAY YOU TALK TO PEOPLE MAKES EVERYONE UNCOMFORTABLE//"
302741,I believe that him not showing his taxes he is hiding something// he defenanctly is not people friendly if he has problems with groups of people// don't like his business history with bankrupcies//
302746,
302751,The wall he wants to make.\\
302752,"Immigration reform, his temperment, he is not politically correct, business experience may not help him be a good president, faliure in business and bankrupt//"
302754,"I don't think he qualifies to be president of the United States//Arrogant, Rude,Outsider, has nothing to do with politics"
302755,Narcissism; egotism; sexism; racism; and any ism that you can think of that he has spouted out of his hole in the last week and a half. Sorry. I am appalled that we are even discussing his name right now. // I'm disgusted at the party for putting up such a weak candidate.
302757,
302760,i dont like his deamoner
302761,9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
302764,Lack of trust//He doesnt tell the truth.He lacks diplomacy.
302765,
302770,"not poitical, he is business man, don't like the way he talks against women//"
302771,ialready pan to I am voting libertarian\\ it is the best of both worlds
302774,He's unstable//
302779,He is very harsh and very to me kind of racist against certain groups of peoplke in this country and I dont think thats fair and the way he feels about abortion and making woman go to prison for that. and he doesnt have a lot of sympathy for people in the lower class.
302781,
302782,little figure out how to say it out spoken needs to hold the reins a little bit
302785,"His temperment um I am afraid he will take us to a nuclear war and because to me he identifies women as a second class citizen becasue he said that we will be punshed for abortion//I do not trust him, I do not trust him his temperment I do not trust him//"
302786,"I don't like the way he comes across, definitely. I don't like the way he represents us as a country; the way he speaks is very embarrassing. He's kinda harsh //"
302787,He reminds me of Mussolini//Some of the things he says are unbelievable//He acts as if he's trying to lose the race//
302790,
302791,what support//how do you get support from both houses//worried about foreign policy how well
302793,everything
302795,
302798,"the way he conducts himself, I think he's a little too impulsive//I think he's predjudice and I dont like that, he's says he's not but I think he is//"
302800,It's primarily his racism and his issues about immigration//
302805,everything about him I just don't like. He is just not fit for president.
302806,"Everything, he is racist masonginistic xenaphobic//"
302809,He has no polociy.  He has answers to his answers but never explains his policies.
302810,"Everything, his lack of experience, his way of talking"
302812,
302813,HE IS TRYING TO TAKE THE COUNTY BACKWARDS - HE IS RACIST
302815,
302816,
302821,"he is loud mouth, he does not really have a lot of experience but I do like how he says ahe is going to do things, like getting jobs, and keep immigrants out\\"
302830,"Selfish, closed mind, racist, he doesnt have values"
302835,I dont thin  he is quallified and I dont thnk he is stable//
302836,"HE IS A DEMAGOG, HE IS A BIGOT HE STANDS FOR EVERYTHING A IM FOR, HE IS AGAINST MIGRANT AND MUSLIMS HE IS A DIGUSTING HUMAN BEING."
302840,I dont like hiis personally
302841,he seems to have a ferocious ego\\ he doesn't know his way around the world\\he's going into an inquosition\\ against mexico
302843,Has a stupid month//
302844,"Certain things he says, his demeanor. Sometimes I think he could be rude.  I don't think he has experience in running for President and I don't think he is very knowledgeable about topics.  when someone asks him questions about topics he kind of veers off the questions.//"
302850,"EVERYTHING, I JUST THINK HE'S A VERY A DANGEROUS PERSON, PROFOUNDY UNQUALIFIED//"
302851,
302852,He's a racist when it suits his politics//It's very akin to want to  Hitler said about the jewish people//His piltics are not sold either//He has not concrete ideas about how to make America great again.//
302856,He is a selfish self centered pig who does not know what its like to be on the other side of the track due to the fact that he was born with a silver spoon in his mouth//
302861,
302864,I do not believe he has a respect for the Democratic process.  I think he's dishonest in his personal and professioal dealings.  I don't think that he is a principle or theoretically driven person//I think he would be dangerous to the country//
302865,He seems a dangerous and incompetent indidvdual. I find his views racist and offensive. And I believe he would the country in serious international danger.//
302866,
302867,rough talking dont care about that kind of stuff
302871,He's terribly arrogant. // I just hope he has some strong advisors he'll listen to. //
302872,he's unprofessionalism - his attitude  towards women in the work place -
302873,he's an idiot
302874,
302876,He is racist//he is a misoginist// he is dishonest//I think he is a pathological egomaniac//He is entirely looking out for number 1// He is the ultimate example of greed
302877,
302878,THELIST IS LONG
302880,I have a doctotarte in pschcology and he is a narcissit. I don't think he is doing it for the right reasons or cares about the citizens. He degrades people. I'd be embarrassed to have him as a president. He is all into himself and not the people unless it is the rich people. \\
400002,He is Prejudiced agianst everthing and everyone! Too volitil
400004,I heard hes under investigation for tax laws
400006,I'm a gay man
400007,racist
400009,
400015,He has no political experience and his tax plans want work
400016,"His disregard for equal rights, position on guns, inexperien"
400017,
400018,He is an idiot
400021,HIS IGNORANCE
400028,"He's xenophobic, a bigot, and not an intelligent person"
400033,
400035,
400039,If Ted Cruz was still running
400041,
400044,He is an egomaniac.
400045,Everything the mans an asshole
400050,"He is unsuitable, unqualigied, has no compass or principles."
400052,
400053,
400054,
400055,He divides the us citizens instead of bringing them together
400056,"arrogant, corrupt, misogynist, hater, inexperience"
400059,He's insane and changes his opinion on the turn of a dime
400062,
400075,racist stupid
400076,
400080,
400086,
400089,His misplaced self-confidence.
400090,He's an ahole
400093,
400095,His objective personality
400096,
400098,
400099,unfit
400102,
400103,he's not a good canidate for president
400108,
400109,"Incompetent, racism, egocentric, childish"
400112,He's extremely hateful & no confidance as a leader
400113,"Experience, temper"
400119,his character
400120,
400121,His irrational behavior. His attitude towards immigrants.
400124,
400126,If you listen to him talk he really don't have a plan.
400130,Lack of Control
400131,Racist
400132,everything
400133,Lscks experience and knowledge of world
400134,
400135,
400136,lack of political experience
400143,
400144,"Racist, sexist, misogynist, liar"
400147,"Experience, intelligence, demeanor,  actions"
400154,He is a pig. He is only in this race for himself.
400158,Everything. He's a completely evil human.
400165,He's to pushy about foreign affairs.
400172,No previous government hands on experience
400174,"His racist, sexist comments, no detailed policy"
400175,"sexist, attitude, big mouth"
400176,He seems to be unserious
400177,His ideals and prespective on life in America
400181,He is a completely unqualified and inappropriate candidate.
400183,liar
400185,Lack of experience with government
400187,"national security, Immigretion, national affairs,domesticvio"
400188,
400189,
400191,"reality tv star, poor busniess man"
400194,I don't think he is a moral man
400195,
400198,Lack of self control
400200,Doesn't speak respectfully
400204,
400208,Not a politician. Used to support democrats
400213,
400214,
400223,He is a racist
400224,no diplomacy
400230,"he is a racist, disrespect women, ugly, no manner"
400232,
400234,"Poor speaker, impulsive"
400236,"He's acting childish, and not talking about helping with his"
400237,Not Clinton
400241,He is an idiot
400243,I don't want a reality TV host running our country
400244,
400245,
400247,lacks depth and positive charisma
400248,I don't like him
400251,
400255,
400259,
400262,"racist, misogynist, self-centered"
400266,
400268,"Erratic, not a leader, not knowledgable, not mature,"
400269,Sexual assaults and Leud comments
400271,His inappropriate language; narcicissism
400274,Doesn't think before he talks
400275,his character
400277,lack of experience
400278,Everything
400279,"They way he talks about people , very insulting ."
400281,
400282,Credibility
400283,Not respectful
400285,he's an unqualified bigot
400289,not fit for him
400290,
400296,
400302,
400304,I do not like his attitude or platform.  He is inexperienced
400305,He's an idiot with no plan. Rather he can't articulate it.
400306,Foreign relations
400308,
400312,DONT LIKE HIM
400315,"Soy latina, y por lo visto no es que Trump nos apoye"
400317,
400318,Never held office
400320,"Ethics, Morals, Lying, Negativity"
400321,Extreme views
400324,not knowledglbe
400330,Immigration deportation
400334,speaks sometimes without thinking
400339,
400342,
400344,
400346,no experience
400347,Scumbag
400349,"no political history, no diplomats, racists"
400350,
400351,He is racist
400352,lack of experience and abrasive demeanor
400355,He's racist
400357,He is against aborition
400360,Not very diplomatic
400362,Prejudiced speech. Worker abuse. Sexual assault. Tax evasion
400367,"lack of experience, arrogance"
400371,Women
400374,he is embarrassment to US
400375,Racist misogynistic megalomaniac
400376,Racist
400377,His language
400379,
400380,"His attitude, maturity and personality"
400382,"Unqualified, Racist, Bigoted,Unpredictable,Dangerous,Uncouth"
400385,I think that he might make wrong decisions for our country.
400387,Racism
400388,His is a loose cannon waiting to destroy the country.
400394,volatile
400397,
400399,
400400,
400401,racist dishonest and a bull sh- -ter
400402,Everything
400404,
400406,Scandal and blatant corruption
400408,I don't agree with his views
400411,
400416,He never seems to state what his actual plans are.
400417,Because he wants to deport all illegal immigrants.
400418,
400424,who he is - not for the people
400426,
400428,Unqualified
400439,
400440,His attitude and ignorance of foreign policy
400441,
400442,no estoy de acuerdo con su politica
400444,he is a raceist
400449,"He is degrading to women,  he treats people with no respect"
400451,he is a bully and can sometimes fly off the handle
400458,everything i've seen; his hatefulness
400459,"Language, conduct, inexperience, ability to do job"
400460,Inexperience in government
400464,His decision making skills
400465,Unpresidential demeanor
400466,He is a liar
400471,"Ignorance, vulgarity, greed."
400473,his antics
400481,intolerence of minorities; lack of credibility
400487,
400490,I don't like his views on certain issues.
400494,
400496,Has problems filtering what comes out of his mouth
400497,
400498,
400499,
400500,"flip-flops, does not seem honest, is mean to people"
400501,Trust
400503,
400504,"HIS INEXPERIENCE, RACIST RHETORIC, LACK OF INTELLIGENCE"
400505,lack of experience lack of morals lack of people skills lack
400509,Can not trust him.  No experience.
400514,he is a clueless  Bigot and Racist.
400517,Lack the demeaner of a Presdient.
400523,I disagree with many things he has said.
400528,mentally unstable disrspectful rascist
400530,"He's a racist, he will lead us into war,"
400531,He seems a like he's a meglomaniac
400532,
400533,
400534,
400535,
400536,
400542,
400543,"racism, uninformed, liar"
400544,
400546,
400549,The racial scandal
400551,views on forgien affairs
400553,
400557,
400560,He is too boistrous
400561,Disrespectful towards women and handicapped
400563,
400564,temper
400565,
400566,He cheats people
400567,Many things
400572,His lack of knowledge on world affairs
400573,uncontrollable outbursts
400576,
400578,mouths off gets to far into a make believe cure for the coun
400583,
400587,
400588,everything
400591,His racisim and dissrespect for women. Also alot more.
400592,
400594,
400596,Racisim
400598,
400600,He's too power hungry and overreactive to have so much power
400603,
400604,His demeanor and behavior towards others
400605,Lacks true answers to policy changes he would make
400607,He doesn't have much political experience
400609,His toxic rhetoric and lack of humanity
400614,his big mouth
400618,lets mouth run away with him
400627,Not qualified and dangerous
400628,
400629,
400630,
400636,His short fuse temperament
400637,dont care for him
400648,
400649,
400651,anti social
400653,attitude
400654,"he is a lying, prejudice, unprofessional, ASSHAT"
400657,"Prejudices, racism, hatred."
400658,Everything he has campaingned on.
400660,Trumpism
400663,He is nuts
400667,
400668,
400669,He is not smart.
400671,IF THERE'S A BETTER CANDIDATE
400677,"Personality, experience, judgement"
400678,How much he likes war
400679,"He's inconsistent, poor businessman, horrible human being"
400680,racist
400683,Arrogance
400685,her a good bessimans man
400686,He is against new immigrants
400689,personality
400691,He seems to care less about moinority
400693,He's a liar
400696,
400697,
400699,HIS MOUTH
400703,tone
400704,Somewhat impulsive
400705,he is a loud mouth that can't keep his mouth shut when he sh
400706,Gary Johnson is better candidate for my beliefs
400707,sometimes shoots from the hip too soon
400708,Im Mexican. So for his racist comments.
400712,
400717,
400719,"Sexism, ego, lack of tact, lack of government exp"
400727,Extremism
400728,He is racist.
400732,
400733,He is also a terrible person
400735,Temperamental
400737,
400738,
400739,Not ready to run this country
400740,"Ignorance, He's just terrible"
400742,International Relations Disaster
400745,
400750,
400753,
400755,"Sexism, racism, unpredictable behavior, lack of politics"
400756,The hatred he has for non Americans
400757,
400758,
400759,"Too crazy, reckless"
400764,He has no government experience and will not know how to lea
400765,
400766,If there was someone more qualified that was not HIllary
400768,no experience & dangerous ideas.
400772,loose canon
400773,
400775,Could write an thesis on this so let's just say EVERYTHING
400777,Hes not politically correct and brass
400780,
400783,"Temperment, lack of substance"
400788,
400789,No experience in foreign and domestic issues.
400796,he isn't always tactful
400798,"He is divisive, unstable, contradicts himself on camera"
400802,everthing about him offends me
400806,
400809,His stand on people
400815,Big mouth lier
400820,Racism
400823,fake
400829,
400831,
400833,He is an individual that perpetuates hate.
400834,Racism
400836,LACK OF POLITICAL EXPERIENCE
400841,His inability to handle criticism and his bombastic attitude
400846,
400857,
400858,Hard to be sure he will hold to his stated positions.
400860,He is a horrible human being.
400862,Everything
400863,
400866,unfit to be president
400870,
400871,
400879,Everything
400880,I don't like his responses towards minorities.
400881,His disrivative rheatoric
400886,He is crazy
400887,
400892,
400894,He is simply too hotheaded.  We need diplomacy as well.
400896,"Racist, populist, untrustworthy, inexperienced, unqualified"
400898,
400899,
400905,
400912,Stir up anger and hatred
400913,Dangerous man. World War 3
400914,He bad mouths everything
400917,Obnoxious & unpredictable; unstable
400922,he is a character
400923,"He shoots from the hip, appears arrogant, and out of touch"
400925,Racist and sexist and homophobic
400926,he has sexually asulted young ladies
400927,He is crazy.
400929,Racism
400931,
400934,
400935,How he treats Weomen
400937,
400938,I do believe he would be a very bad US President.
400941,
400945,
400947,Every word out of his mouth.
400948,His mere existence.
400950,Mouthy
400952,nuts
400954,Not compassionate about veterans or those serving
400958,Health issues
400959,just because he's a jack-ass thats about it
400960,View on war
400963,
400965,Too dramatic a shift in immigration policy
400967,"he is a racist, cant run this country, liar"
400968,foreign policies
400969,Ignorance
400971,
400977,Temperament
400979,
400981,His lack of integrity.
400984,Temperament
400988,
400989,politatics
400991,
400994,Republican
400997,Inexperienced politician.  Offensive.
400999,He's the devil
401001,
401003,
401005,
401007,Everything. He's a joke! Can't stay out of trouble.
401009,
401010,"He is very rude, mean, nasty with others and judgmental ass"
401011,"Inflexible, angry, conceited, sexist, not leadership materia"
401013,
401019,
401020,Lack of mental stability
401021,lies
401022,
401028,
401029,His demeanor
401030,"He is a bigot, racist, and just plain immature like a five y"
401034,His lacking priority of God in his decisions
401035,Everything.   Two-faced lying racist.
401037,Impulsiveness
401039,He can be obnoxious and seems to lack experience
401041,lack of depth of understanding of world affairs
401042,his unpresdential like behavior
401043,
401048,
401049,He is a foolhardy bigot with less intelligence than paste
401051,Everything about him i do not like his attitude or approach
401054,
401055,Wreckless arrogant behavior
401058,His comments about women & minorities
401059,abusive language/disrespectful to women/seems dishonest
401062,
401068,
401070,
401071,Lack of discipline and tact.
401072,Age
401073,
401074,no filter
401076,His attitude and no experience with politics
401080,He is only for himself
401082,"Liar, self-interests, no real plan"
401083,his attitude
401086,
401089,
401090,RACIST
401094,
401095,Everything.
401100,His demeanor & delivery are horrible
401102,HE IS CRAZY
401103,"He speaks first, and thinks later.  He backtracks his words."
401104,His ignorance
401110,
401111,"his demeanor, negativity, condescension, and hate..."
401112,Inexperienced.poor decision maker and hateful views
401116,
401117,
401122,
401127,"he doesn't respect women, people from other countries"
401128,
401130,
401132,He is unqualified and mentally insane
401134,
401135,Everything about him.
401136,He's crazy.
401142,
401143,
401144,"His views on latinos, women, veterans, blacks, handicapped"
401145,"He's disrespectful, racist, arrogant, not honest..."
401150,He is deceitful
401151,
401152,"Lack of experience, character"
401153,Where do I start?
401155,
401159,EVERYTHING
401161,His lack of maturity.
401163,Can be explosive
401164,he doesn't seem to have respect for weapons arsenal of US
401167,Feel he's a dangerous man
401169,
401174,Too Dangerous to vote
401178,
401180,Extreme policies
401183,
401184,
401185,
401188,
401191,
401195,He is just so damn stupid and has no plans for anything.
401196,"He's idiotic, and will run this country like a business"
401200,
401201,I don't trust him either.
401207,lack of self control
401210,Not qualified
401211,cockiness
401214,He's a bully; degrades women
401215,He's a tactless windbag.
401219,Ignorant incompetent dangerous white supremacist
401220,
401226,
401227,He is a dangerous person to have lead our country
401230,
401233,
401235,
401236,
401238,
401239,
401243,IMIGRACION
401244,Carrying on Obama's push for racism
401245,He's a bigot.
401247,
401248,Might push it to far with other countries.
401252,
401257,
401258,
401260,War
401261,No experience
401263,"He is not qualified for presidency, and the thought of him p"
401267,untrustworthy
401270,Free trade
401271,That the man is volatile and should not be running for  poli
401274,
401275,Too explosive
401278,Racist
401280,
401281,Ignorance
401282,against Trump in every way not good for us
401283,racist
401289,His way of choosing his words are disrespectf
401293,"SHALLOW, SELF-ABSORBED, INCOMPETENT TO BE PRESIDENT"
401295,Successful businessman
401303,Doesn't think before he speaks
401304,Strong willed
401306,foreign affairs experience
401309,Sexism
401311,
401314,
401318,His drama
401320,
401326,
401330,His history as a businessman and his propensity for lying
401331,He has no tact.
401335,He doesn't seem to know about or care about our country.
401343,His Character.
401346,Foreign Policy
401348,Everything
401349,"His pride, incompetence, and almost everything."
401350,
401351,
401352,personal moral standard
401353,Not prepared
401354,Bigot. Bluster. He makes it up as he goes along.
401356,his mouth
401359,
401361,View on foreign immigrants
401367,Everything
401369,
401372,
401373,
401377,completely unfit: no interest in or grasp of policy
401379,"Racist, Sexist, Sexual Predator, Inappropriate, Embarrassing"
401380,i've followed for awhile. he's only does things for himself.
401381,temperment
401382,
401387,"Untrustworthy, he insults his opponents, inexperienced"
401389,zero foreign policy experience
401390,not trustworthy
401391,
401392,I just don't like him
401393,
401397,
401398,His choice of words
401400,
401402,Dislike
401410,He's an asshole
401412,
401414,
401416,"His insensitivity, narcissism, lack of knowledge of how gov'"
401417,
401422,"Nuclear triad, Israeli/Palestinians, Russian Sympathizer, IQ"
401423,"temperment, attitude, not constructive"
401426,He is a loudmouth bafoon
401427,"Arrogance, lies, and seems to be racist and prejudice"
401428,his character and honesty
401430,some of the comments he makes
401431,
401435,lack of humility
401436,
401437,
401438,He is a socialist too.  He believes in big government.
401439,"nonpresidential personality, tweets"
401441,
401442,"He's a mean-spirited misogynistic narcissist , who is unfit."
401444,lack of experience
401447,Doesn't have enough political experience
401448,Bigoted lunatic pandering to the worst in human nature.
401450,
401457,
401461,
401463,
401464,was given all he has. out of touch.
401468,No political background
401469,
401472,"Immigration, economy reform"
401475,
401476,
401477,arrogant & don't trust him
401478,Too many self-serving ideals rather than the middle class
401482,His comments about sending people back to Africa c
401485,Everthing
401486,"He is a liar, a bigot, a racist..."
401492,
401496,Everything else
401501,It seems as if he would have no actual plan to run the USA.
401504,his mouth is bad
401505,I DONT LIKE HIS VIEWS ON EVERYTHING.
401511,
401512,I do not trust him at all
401513,he is nasty he has no people skills
401515,Rude
401516,EGOTISTIC-NOT PREPARED
401520,His character
401522,He contradicts himself quite a bit.
401525,
401527,I do not think he is qualified
401528,everything else
401531,his views
401537,
401539,I disagree with almost all of his policies.
401542,
401543,an intellectually lazy and disgusting human being
401548,
401552,
401554,
401555,
401557,he speaks before thinking
401559,mysogonystic
401563,Don't trust him and no government experience
401570,He is too temperamental and lacks much experience.
401571,
401573,He's a narcissistic asshole
401574,He makes racist remarks
401576,
401579,"liar, sexist, racist, climate change denier"
401580,
401581,His contstant changing stance
401582,He is racist
401583,do not like his views
401584,
401585,"Misogynist, xeonophobe, fact-challenged, racist, incompetent"
401586,
401587,Values
401588,don't like the wall with Mexico.
401590,Everything
401592,He's racist.
401593,bigotry
401597,Close mindedness and racism
401598,conceited
401601,His atttiude
401602,I donot like his ethics:if he has any
401603,not a conservative
401605,
401607,
401609,Inability to understand the power of his words
401610,
401611,His stance on abortion and immigration and his huge ego
401613,
401618,He is for the rich and from what I have heard is unethical
401622,His viewpoints on basically every subject.
401624,Poor social policy
401625,
401630,He wants to go to war. I feel that he lies.
401632,everything
401636,his igmorance
401637,If ther was a reasonable conservative Demacrate running
401639,
401642,Unqualified
401643,
401646,
401649,
401654,I believe the man to be dangerous
401662,"temperament, immigration views, lack of experience"
401664,Brashness and impulsiveness
401665,His ignorance against hispanics.
401669,His character & demeanor. His lack of understanding of issue
401672,Psychopath
401675,arrogance
401678,RACISM
401685,
401686,Everything
401687,
401694,Not compassionate
401696,
401698,Everything
401699,La manera de pensar y opinar en contra de los hispanos
401700,Need change. Trust business decisions.4
401703,immigration policies
401705,LACK OF EXPERIENCE
401706,
401709,lack of expirence
401715,Lack of Political Experience
401716,
401723,Don't trust
401728,
401732,"Ignorance, bigotry, inconsistency, immaturity"
401733,loose cannon
401736,"delusions of grandeur, cruelty, and ignorance"
401739,
401746,Lack of any moral character
401747,
401748,
401749,
401752,
401756,His temperament and crude comments about others at times
401757,Comes off as a dictator
401758,He is a biggot
401759,Lack of diplomacy and compassion
401761,
401762,will do more damage than good
401771,"I disagree with him on environment, immigration and others."
401773,"racist, patriarchal, egotistical.... it goes on"
401774,"errogant, never been in politics before"
401780,His racism and lack of self-control.
401782,His morals and use of corrupt language
401791,"bad temper, insulting personality and 'chaffing' attitude"
401792,Dangerous for our country in countless ways
401793,
401795,
401797,
401798,His lack of control of what he says.
401802,
401804,he is not for the people...seem very prejudice
401807,
401808,
401811,"ego, non-sensical"
401812,"Unintelligent, extreme dishonesty, inexperienced, prejudiced"
401815,Everything
401821,
401824,HE ACTS LIKE A 10 YEAR OLD
401828,
401829,
401830,He is NOT FIT to be President.
401832,inexperience
401833,Heb is ignorant
401835,
401836,ROUGH APPROACH OF SPEACH
401839,He insult people
401841,hes a racist
401849,His disgusting views
401850,He is a racist
401852,
401854,
401856,"seems anti-democracy, anti-constitution, etc."
401858,"Impulsiveness, lack of empath discretion and experience"
401859,Lack of concern for the general public.
401860,"wall around the country, women's rights"
401861,"His Arogant, Racist & Discriminating Manner"
401862,No redeeming qualities
401867,He comes across as an awful person... reasons are endless
401872,"racism, sexism, xenophobia, islamophobia"
401874,"dishonest, impulsive, angry, racist"
401875,
401876,
401883,
401887,general behaviors
401889,
401891,
401895,"Sexist, racist, salesman approach - int'l embarassment"
401902,he does have a challenge to manage his bombastic speech
401903,His Taxes
401906,
401909,
401910,
401911,"He is narcissistic, shallow, infantile without common sense"
401914,
401915,"he is obnoxious, should not represent US internationally"
401916,
401917,
401918,He is a rich white dude that does not represent me.
401919,
401920,loud mouth
401922,"conservative views, against women, against abortion"
401923,That he insults people
401924,war
401926,"He is a. Bigot, an unqualified."
401928,?
401931,His arrogance
401938,Races
401940,arrogance
401941,His friendship with Russia
401943,
401945,
401949,
401950,"his prejudices, inexperience, hot headedness, mockery of peo"
401958,temperment/little knowledge of government workings
401959,He keeps sticking his foot in his mouth
401968,his derelict behahior
401971,
401972,He will protect our borders and citizens
401973,There is absolutely no evidence that he can do the job well.
401976,He is rough around the edges with his langugage
401978,"Racial remarks, lack of political experience, social ignoran"
401982,Racist and liar
401985,everything
